player_name,total_AB,total_H,total_BB,total_HBP,total_SH,total_SF,total_PA,batting_avg_x1000
Bobby Witt,636,211,66,8,0,8,718,332
Vladimir Guerrero,616,199,84,5,0,4,709,323
Aaron Judge,559,180,153,9,0,2,723,322
Luis Arraez,637,200,27,8,2,1,675,314
Shohei Ohtani,636,197,91,6,0,5,738,310
Yordan Alvarez,552,170,85,10,0,4,651,308
Marcell Ozuna,606,183,76,3,0,4,689,302
Yainer Diaz,585,175,25,2,0,8,620,299
Trea Turner,505,149,27,6,0,1,539,295
Jose Altuve,628,185,49,7,0,0,684,295
Brent Rooker,546,160,63,5,0,4,618,293
Jackson Merrill,554,162,30,1,4,5,594,292
Ketel Marte,504,147,72,5,0,9,590,292
Steven Kwan,480,140,53,5,2,0,540,292
Mookie Betts,450,130,63,1,0,4,518,289
Juan Soto,576,166,131,4,0,4,715,288
Jarren Duran,671,191,55,6,1,3,736,285
Bryce Harper,550,157,87,2,1,2,642,285
Seiya Suzuki,512,145,66,6,0,4,588,283
Luis Garcia,500,141,29,0,0,1,530,282
Freddie Freeman,542,153,87,10,0,8,647,282
Yandy Diaz,563,158,50,4,0,4,621,281
Gunnar Henderson,630,177,79,7,0,4,720,281
William Contreras,595,167,83,3,0,3,684,281
Jurickson Profar,564,158,80,18,5,5,672,280
Alec Bohm,554,155,42,6,0,6,608,280
Jose Ramirez,620,173,66,1,0,6,693,279
Lourdes Gurriel,513,143,30,6,0,5,554,279
Brendan Donovan,587,163,47,13,0,5,652,278
Corey Seager,475,132,64,3,0,2,544,278
Manny Machado,593,163,51,1,0,4,649,275
Jackson Chourio,528,145,43,3,1,2,577,275
Bryan Reynolds,622,171,60,10,0,3,695,275
Francisco Lindor,618,169,56,12,0,3,689,273
Nico Hoerner,582,159,45,12,0,3,642,273
Julio Rodriguez,567,155,39,6,0,2,614,273
Nolan Arenado,578,157,46,5,0,7,636,272
Rafael Devers,525,143,81,3,0,6,615,272
Teoscar Hernandez,589,160,56,8,0,1,654,272
Salvador Perez,590,160,53,11,0,6,660,271
Ryan Mountcastle,473,128,27,1,0,6,507,271
Ezequiel Tovar,655,176,24,4,5,7,695,269
Heliot Ramos,475,128,39,2,0,4,520,269
Alec Burleson,547,147,35,4,1,6,593,269
Masyn Winn,587,157,42,1,3,5,638,267
Brendan Rodgers,501,134,32,4,1,2,540,267
Cody Bellinger,516,137,52,3,0,5,576,266
Jeremy Peña,602,160,26,14,3,6,651,266
Nathaniel Lowe,486,129,72,4,0,4,566,265
Riley Greene,512,134,67,5,0,2,586,262
Vinnie Pasquantino,496,130,41,4,1,13,555,262
Colt Keith,516,134,38,2,0,2,558,260
Brenton Doyle,542,141,47,3,4,8,604,260
Alex Bregman,581,151,45,5,0,4,635,260
Sal Frelick,475,123,39,4,2,1,521,259
Oneil Cruz,541,140,56,3,0,4,604,259
Justin Turner,460,119,61,13,0,7,541,259
Elly De La Cruz,618,160,71,6,2,1,698,259
Josh Smith,523,135,47,18,2,3,593,258
Tyler Stephenson,457,118,50,8,0,2,517,258
Matt Vierling,518,133,42,3,0,5,568,257
Gleyber Torres,587,151,65,3,2,8,665,257
Eugenio Suarez,571,146,49,9,0,11,640,256
Jacob Young,468,120,30,12,9,2,521,256
Jazz Chisholm,562,144,58,4,0,2,626,256
Nick Castellanos,606,154,43,10,0,2,661,254
Brice Turang,559,142,51,2,5,3,620,254
Wyatt Langford,499,126,54,4,0,3,560,253
Jesse Winker,430,109,65,10,2,3,510,253
Andres Gimenez,583,147,27,15,3,6,634,252
Jesus Sanchez,489,123,43,4,1,2,539,252
Willy Adames,610,153,77,1,0,3,691,251
Christian Walker,479,120,59,10,0,8,556,251
Adley Rutschman,571,143,61,2,0,7,641,250
Nolan Schanuel,519,130,68,9,3,7,606,250
Jake Burger,535,134,33,9,0,4,581,250
Josh Bell,538,134,52,6,0,3,599,249
Zach Neto,542,135,40,16,4,1,603,249
Michael Busch,496,123,64,4,0,4,568,248
Jonathan India,533,132,80,15,2,7,637,248
Kyle Schwarber,573,142,110,5,0,8,696,248
Will Smith,476,118,57,9,0,8,550,248
Willi Castro,558,138,51,21,1,4,635,247
Matt Olson,600,148,76,9,0,5,690,247
Matt Chapman,575,142,67,6,0,2,650,247
CJ Abrams,541,133,43,16,1,4,605,246
Ceddanne Rafaela,544,134,16,7,2,3,572,246
Taylor Ward,585,144,63,7,0,8,663,246
Andrew Vaughn,570,140,38,6,0,5,619,246
Paul Goldschmidt,599,147,49,2,0,2,652,245
Bryson Stott,506,124,54,3,0,9,572,245
Logan O'Hoppe,479,117,33,8,1,1,522,244
Anthony Volpe,637,155,43,4,2,3,689,243
Josh Naylor,563,137,65,7,0,4,639,243
Ian Happ,569,138,81,6,0,2,658,243
JJ Bleday,572,139,69,2,1,0,644,243
Colton Cowser,499,121,54,7,0,3,563,242
Ryan McMahon,567,137,73,3,0,4,647,242
Dansby Swanson,534,129,56,2,0,3,595,242
Jake Cronenworth,577,139,61,11,1,3,653,241
Jorge Soler,493,119,68,6,0,4,571,241
Pete Alonso,608,146,74,13,0,4,699,240
Joey Ortiz,440,105,56,6,3,6,511,239
Isaac Paredes,542,129,78,17,0,6,643,238
Carlos Santana,521,124,68,6,0,2,597,238
Marcus Semien,650,154,66,3,0,1,720,237
Lane Thomas,472,112,45,7,0,5,529,237
Anthony Santander,595,140,61,7,0,5,668,235
Ty France,479,112,38,13,0,5,535,234
Alex Verdugo,559,130,49,1,2,10,621,233
Gavin Sheets,451,105,45,4,0,3,503,233
Bryan De La Cruz,584,136,30,3,0,5,622,233
Andrew McCutchen,448,104,59,7,0,2,516,232
Corbin Carroll,589,136,73,10,3,9,684,231
Maikel Garcia,575,133,42,0,4,5,626,231
Andrew Benintendi,477,109,42,1,0,3,523,229
Leody Taveras,480,110,42,0,3,4,529,229
Spencer Steer,574,129,73,8,0,2,657,225
Brandon Nimmo,571,128,78,12,0,3,664,224
Adolis Garcia,580,130,47,6,0,6,639,224
Shea Langeliers,482,108,43,5,0,6,536,224
Cal Raleigh,546,120,74,6,0,6,632,220
George Springer,545,120,60,6,0,2,613,220
Jake Meyers,461,101,35,10,3,4,513,219
Randy Arozarena,549,120,73,22,0,4,648,219
Orlando Arcia,551,120,42,2,1,7,603,218
Rhys Hoskins,449,96,54,7,0,6,516,214
Daulton Varsho,459,98,49,4,1,1,514,214
Zack Gelof,497,105,38,4,3,5,547,211
Christopher Morel,535,105,64,10,0,5,614,196
